cpu_percent,cpu_freq,mem_usage,net_sent,net_recv,energy_j,cpu_deriv,mem_deriv,Split_Type,energy_per_packet,time_diff,throughput_sent,throughput_recv,tp_sent_roll_mean,tp_recv_roll_mean,tp_sent_roll_90pct,delta_net_sent,delta_net_recv,delta_net_sum,latence_classe,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,cluster_kmeans,cluster_dbscan,cluster_agg,cluster_gmm,cluster_som,cluster_deep
8.817914266767112,2601.706,6.651127579131493,144965882136,195029494743,7.470878632396319,0.0063043542585461,0.0,2,2.197347123062532e-11,1.0,99489840.0,134050834.0,108233227.2,145655739.6,110640493.4,99489840.0,134050834.0,233540674.0,1,2.4707992727263255,-0.5568865400484657,0.04260955144786708,0.8203205260963466,0.019268950664582014,-0.027213130335004887,-0.07561874613603095,0,0,2,0,57,0
8.82402241426163,2601.706,6.651127579131493,145073667620,195174080301,7.477648187191935,0.006108147494519,0.0,2,2.1977068864914642e-11,1.0,107785484.0,144585558.0,107734627.2,144916530.0,110640493.4,107785484.0,144585558.0,252371042.0,1,2.5872623387775486,-0.40931303536923713,0.004315671890489096,0.5881153167706284,0.02583436268202105,-0.08192516985590609,-0.28413390024034424,0,0,2,0,48,0
8.830133043373587,2601.706,6.651127579131493,145184068438,195322977441,7.4832293820815,0.0061106291119568,0.0,2,2.197672404329831e-11,1.0,110400818.0,148897140.0,107745040.0,144991662.0,110687351.0,110400818.0,148897140.0,259297958.0,1,2.630517355411597,-0.3419818837199985,-0.012882643051645703,0.5645023172715945,0.03147057447600594,-0.11000289860527285,-0.36190371653253695,0,0,2,0,48,0
8.83627407609882,2601.706,6.651127579131493,145296069260,195473350917,7.488449842261686,0.0061410327252318,0.0,2,2.1975122762987623e-11,1.0,112000822.0,150373476.0,107491974.8,144547874.4,112127354.6,112000822.0,150373476.0,262374298.0,1,2.657314794433086,-0.2884909180247821,-0.02855079128217778,0.5884166007560864,0.03386592297603442,-0.11928264065344929,-0.35435380960370977,0,0,2,0,48,0
8.842423373357757,2601.706,6.651127579131493,145412646318,195630380565,7.494492520868836,0.006149297258938,0.0,2,2.1975211132054418e-11,1.0,116577058.0,157029648.0,109250804.4,146987331.2,113597239.0,116577058.0,157029648.0,273606706.0,2,2.721549111119865,0.043966730269495546,-0.12441208543188997,0.4874488104909302,0.06970164860908247,-0.07462189277483866,-0.220536992644618,0,0,2,0,39,0
8.848702987208085,2601.706,6.651127579131493,145521589914,195777109657,7.497722810149098,0.006279613850328,0.0,2,2.196821382435228e-11,1.0,108943596.0,146729092.0,111141555.6,149522982.8,113597239.0,108943596.0,146729092.0,255672688.0,1,2.689760025828552,-0.2183016076415704,-0.061341335559608245,0.7208815873180887,0.023149788989071073,-0.0663184290812433,-0.19592305180952035,0,0,2,0,48,0
8.854810918820975,2601.706,6.651127579131493,145621553434,195911651203,7.50049239323941,0.00610793161289,0.0,2,2.1961239175005955e-11,1.0,99963520.0,134541546.0,109577162.8,147514180.4,113597239.0,99963520.0,134541546.0,234505066.0,1,2.557676990042547,-0.48520350944477275,0.008009621498329398,0.669597867650961,0.0010885735102916638,0.03148358673848734,0.047217176042234035,0,0,2,0,57,0
8.860877744621456,2601.706,6.651127579131493,145726526772,196052536401,7.506481200879795,0.006066825800481,0.0,2,2.1962963825786492e-11,1.0,104973338.0,140885198.0,108491666.8,145911792.0,113597239.0,104973338.0,140885198.0,245858536.0,1,2.609824613108175,-0.4092674122980794,-0.007669767858062325,0.5980327825401487,0.011383631690963176,-0.020285309190864735,-0.09428571670271221,0,0,2,0,57,0
8.867033988071329,2601.706,6.651127579131493,145841631460,196207341285,7.513811299239693,0.0061562434498725,0.0,2,2.1967062900204333e-11,1.0,115104688.0,154804884.0,109112440.0,146798073.6,115251925.0,115104688.0,154804884.0,269909572.0,2,2.724367651078238,0.03193061053215941,-0.1257134466738766,0.5213675587756169,0.06474253469446885,-0.04958515359671897,-0.1228951839068219,0,0,2,0,39,0
8.87325551602605,2601.706,6.651127579131493,145957227642,196362889659,7.51891202000347,0.0062215279547217,0.0,2,2.1964563693439426e-11,1.0,115596182.0,155548374.0,108916264.8,146501818.8,115694269.6,115596182.0,155548374.0,271144556.0,2,2.730516917035696,0.05298625823004885,-0.13049361025131484,0.5752178928787539,0.06902573298789841,-0.0627250764941264,-0.1297013862805862,0,0,2,0,39,0
